R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
35,47.7,Kawhi Leonard,"SF,PF",LAC,52,31.1,0.494 (7.9/16.0),0.813 (2.6/3.2),1.9,20.3,5.5,3.1,1.5,0.7,1.7,4.29
36,77.6,Mikal Bridges,"SF,PF",NY,80,35.2,0.518 (6.7/13.0),0.829 (1.4/1.7),2.2,17.1,4.7,4.7,1.1,0.7,1.7,4.28
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
37 2,29.2,Jaylen Brown,"SG,SF",BOS,68,33.9,0.468 (10.8/23.0),0.750 (3.7/4.9),2.2,27.4,7.2,4.7,1.2,0.4,2.6,3.86
38 2,32.3,Bam Adebayo,"PF,C",MIA,74,33.2,0.476 (7.4/15.5),0.818 (3.9/4.7),1.3,20,9.8,3.3,1,0.6,2.1,3.8
39 2,42.9,Trey Murphy III,"SG,SF,PF",NO,65,34.3,0.441 (7.4/16.8),0.858 (3.0/3.5),3,20.8,5.1,3.8,1.1,0.6,2.1,3.7
40 2,25,Jalen Williams,"SF,PF",OKC,60,32,0.477 (7.8/16.3),0.788 (3.4/4.3),1.7,20.6,4.9,4.9,1.4,0.7,2,3.65
41 2,67.7,Darius Garland,PG,CLE,61,31.4,0.461 (7.0/15.2),0.858 (2.8/3.3),2.9,19.7,2.8,6.6,1.3,0.1,2.8,3.57
42 2,71.4,Tyler Herro,"PG,SG",MIA,58,33.2,0.461 (7.9/17.1),0.866 (3.1/3.6),3.1,22,5,5,0.8,0.2,2.4,3.49
43 2,30.6,Pascal Siakam,"PF,C",IND,76,32.9,0.491 (9.3/18.9),0.727 (4.0/5.5),1.9,24.4,9,4.7,0.9,0.4,1.6,3.4
44 2,37.1,Dyson Daniels,"PG,SG,SF",ATL,74,33,0.457 (5.8/12.7),0.607 (2.2/3.6),1.2,15,6.3,6,2.3,0.8,2.1,3.38
45 8,53.5,Kristaps Porzingis,"PF,C",ATL,49,29.2,0.483 (6.5/13.4),0.817 (3.8/4.7),2.2,18.9,6.8,2.1,0.7,1.5,1.7,3.34
46 1,45.9,Ja Morant,PG,MEM,57,32.9,0.451 (8.5/18.8),0.810 (5.6/6.9),1.6,24.2,4.6,7.6,1.1,0.3,3.8,3.21
47 2,51.6,Nikola Vucevic,C,CHI,74,30,0.505 (7.0/13.9),0.809 (1.4/1.7),1.5,17,10.2,2.5,0.8,0.7,1.5,3.17
48 3,138.7,Kyshawn George,"SG,SF",WAS,70,31.5,0.441 (6.3/14.3),0.787 (2.0/2.5),2.4,17,6,3.5,1.3,1,2,2.92
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
49 4,64.3,DeMar DeRozan,"SF,PF",SAC,74,34.9,0.478 (7.6/15.9),0.855 (5.4/6.3),0.9,21.5,3.8,4.3,0.9,0.5,1.4,2.84
50 5,61.8,Zach LaVine,"PG,SG,SF",SAC,69,34,0.497 (7.9/15.8),0.833 (3.2/3.8),3,21.9,3.4,3.5,0.8,0.2,2.6,2.67
51 5,39.8,Ivica Zubac,C,LAC,74,29.6,0.636 (6.3/9.9),0.688 (1.9/2.7),0,14.4,11.1,2.1,0.5,1.2,1.4,2.54
52 5,84.8,Donovan Clingan,C,POR,70,27.8,0.583 (4.2/7.2),0.647 (1.4/2.2),1,10.8,10.2,1.6,0.7,1.8,1.5,2.51
53 5,71.4,Michael Porter Jr.,"SF,PF",BKN,79,32.7,0.473 (7.5/16.0),0.788 (2.2/2.7),3.1,20.3,8.1,2,0.6,0.6,2,2.5
54 5,65.4,OG Anunoby,"SF,PF",NY,68,34.3,0.480 (6.2/12.9),0.794 (2.0/2.5),2.2,16.6,4.5,2.2,1.4,0.8,1.5,2.49
55 6,50.7,Deni Avdija,"SF,PF",POR,73,30.1,0.478 (6.2/13.0),0.777 (4.0/5.1),1.7,18.1,7.9,4.4,1,0.6,2.8,2.44
56 18,57.3,Walker Kessler,C,UTA,17,30.2,0.656 (4.4/6.8),0.695 (2.1/3.0),0.7,11.7,10.2,1.3,0.5,2.4,1.7,2.4
57 7,55.2,Lauri Markkanen,"SF,PF",UTA,49,31,0.453 (6.5/14.3),0.887 (3.8/4.3),2.9,19.6,6.4,1.7,0.8,0.4,1.3,2.36
58 4,59.8,Coby White,"PG,SG",CHI,58,33.8,0.450 (6.5/14.5),0.872 (3.6/4.2),3,19.7,3.9,4.4,0.8,0.2,2.1,2.34
59 5,83.4,Alexandre Sarr,C,WAS,70,29.4,0.469 (6.2/13.2),0.725 (1.9/2.6),1.1,15.3,7.5,3,0.7,2,1.9,2.33
60 8,83.3,Mark Williams,C,PHO,49,26.7,0.611 (5.7/9.4),0.763 (2.7/3.5),0,14.1,9.9,2,0.8,1.2,1.4,2.3
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
61 4,,Ryan Rollins,PG,MIL,60,30.3,0.475 (5.3/11.2),0.820 (1.8/2.2),1.9,14.4,4.4,5.1,1.5,0.4,2.4,2.17
62 8,50.5,Joel Embiid,C,PHI,37,28.8,0.447 (7.0/15.6),0.862 (6.0/7.0),0.9,20.9,7.6,3.8,0.5,0.7,3,2.17
63 3,46.1,Myles Turner,C,MIL,72,29.6,0.470 (5.6/11.9),0.779 (1.4/1.8),1.5,14.1,6.7,1.5,0.7,2,1.6,2.16
64 3,66.5,Deandre Ayton,C,LAL,67,31.3,0.569 (6.6/11.5),0.767 (1.0/1.3),0.1,14.2,9.4,1.9,0.8,1,1.6,2.14
65 3,28.4,Paolo Banchero,"PF,C",ORL,63,34.7,0.445 (9.0/20.3),0.773 (6.2/8.0),1.5,25.8,8.1,4,0.8,0.9,2.7,2.14
66 3,67.1,Payton Pritchard,PG,BOS,76,30.3,0.466 (5.6/12.1),0.829 (0.9/1.1),3.4,15.5,4.2,5.7,0.8,0.2,1.1,2.06
67 7,42.1,Zion Williamson,"SF,PF,C",NO,49,30.1,0.518 (9.1/17.5),0.669 (6.0/9.0),0.1,24.2,8.3,5.1,1.2,0.6,2.8,1.97
68 20,130.6,Kyrie Irving,PG,DAL,17,28.5,0.472 (7.4/15.6),0.901 (2.9/3.2),2.4,20,4,4,1,0.3,1.9,1.91
69 1,110.2,Jrue Holiday,"PG,SG",POR,60,30.7,0.449 (4.9/10.9),0.879 (1.1/1.2),2.1,12.9,5.1,5.1,1.1,0.7,1.7,1.85
70 2,93,John Collins,"PF,C",LAC,70,29.2,0.528 (5.9/11.2),0.820 (2.5/3.1),1.3,15.6,7.7,1.4,0.7,0.9,1.8,1.79
71 2,55.5,Jarrett Allen,C,CLE,78,28.2,0.652 (5.2/8.0),0.734 (2.5/3.5),0,13,9.3,2.2,0.8,0.9,1.3,1.72
72 2,44.5,Desmond Bane,"SG,SF",ORL,70,31,0.460 (6.4/14.0),0.870 (2.4/2.7),2.4,17.6,4.5,3.8,0.9,0.4,2.1,1.62
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
73 2,143,Kon Knueppel,"SG,SF",CHA,70,31.7,0.462 (5.0/10.8),0.861 (2.6/3.0),2.5,15.1,4.9,3.1,0.9,0.4,1.3,1.61
74 2,61.4,Miles Bridges,"SF,PF",CHA,66,31.4,0.447 (7.1/15.8),0.850 (2.7/3.2),2.1,18.9,6.8,3.3,0.8,0.5,1.9,1.59
75 2,21.2,Amen Thompson,"PG,SG,SF",HOU,72,32.3,0.515 (6.2/12.1),0.688 (2.4/3.5),0.5,15.4,6.4,5.5,1.2,0.9,1.9,1.51
76 2,123.6,Donte DiVincenzo,"PG,SG",MIN,70,30.5,0.435 (5.3/12.2),0.770 (1.0/1.4),3.5,15.2,4,3.4,1.4,0.4,1.6,1.51
77 2,78.2,Isaiah Hartenstein,C,OKC,66,26.6,0.617 (4.0/6.4),0.692 (1.5/2.1),0,9.4,9.9,3.1,0.9,1.1,1.5,1.5
78 2,90.1,Cameron Johnson,"SF,PF",DEN,65,30.6,0.470 (5.2/11.2),0.854 (2.2/2.6),2.8,15.5,4,2.5,1.1,0.4,1.3,1.5
79 2,138.3,Jusuf Nurkic,C,UTA,55,30.1,0.483 (4.7/9.7),0.681 (1.4/2.1),0.5,11.3,11.9,4,1.2,0.8,2.6,1.46
80 9,81.2,Paul George,"SG,SF,PF",PHI,44,31,0.446 (6.0/13.5),0.847 (2.5/2.9),2.3,16.8,4.4,3.2,1.4,0.4,1.9,1.46
81 1,41.9,Cooper Flagg,"PG,SF",DAL,70,31.4,0.426 (5.5/13.0),0.836 (3.5/4.2),1.2,15.8,5.3,3.8,1.2,0.8,1.8,1.41
82 1,137.6,VJ Edgecombe,SG,PHI,70,32.4,0.446 (6.6/14.8),0.804 (2.5/3.1),1.9,17.6,4.8,3.5,1.4,0.5,1.5,1.4
83 20,132.4,Jayson Tatum,"SF,PF",BOS,10,26.1,0.461 (6.7/14.5),0.823 (3.9/4.7),2.4,19.6,6.1,4,0.8,0.4,2,1.4
84,118.2,Tobias Harris,PF,DET,71,32.2,0.478 (5.7/11.9),0.870 (2.2/2.5),1.2,14.8,5.9,2.5,1,0.7,1.2,1.29
