R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
148 1,139.1,Isaiah Jackson,C,IND,60,23,0.566 (4.1/7.2),0.705 (2.0/2.8),0,10.1,6.8,1.4,0.7,1.4,1.1,-1.08
149 4,141.5,Khris Middleton,"SF,PF",WAS,40,27,0.473 (5.2/11.0),0.843 (1.9/2.3),1.4,13.8,3.9,4.2,0.9,0.2,1.7,-1.08
150,113.5,Aaron Gordon,"PF,C",DEN,62,29.8,0.546 (5.3/9.8),0.719 (2.6/3.6),0.9,14.2,5.8,3.4,0.6,0.5,1.4,-1.22
151,140.9,Jerami Grant,"SF,PF",POR,50,30,0.449 (4.9/10.8),0.830 (3.2/3.9),1.8,14.7,3.4,2.1,0.7,0.7,1.5,-1.23
152,,Jake LaRavia,"SF,PF",LAL,58,25.7,0.474 (3.7/7.7),0.752 (2.2/2.9),1.5,11,4.6,2.8,1.2,0.5,1.7,-1.29
153,139.1,Jaime Jaquez Jr.,"SG,SF",MIA,60,26.2,0.478 (4.8/10.0),0.788 (2.2/2.7),0.9,12.6,5,3.1,1.2,0.3,1.8,-1.29
154,76.3,Jakob Poeltl,C,TOR,58,26.5,0.601 (4.5/7.4),0.622 (1.2/1.9),0,10.1,7.4,2.2,0.8,1,1.5,-1.31
155,139.2,Al Horford,"PF,C",GS,60,25.2,0.464 (3.1/6.6),0.882 (0.5/0.5),1.7,8.2,5.9,2.2,0.6,0.9,0.7,-1.35
156,140.1,Rui Hachimura,"SF,PF",LAL,65,31.3,0.520 (5.7/11.0),0.753 (1.5/2.0),1.6,14.6,4.7,1.3,0.7,0.4,0.8,-1.36
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
157,140.4,Scoot Henderson,PG,POR,50,29.8,0.428 (5.0/11.7),0.793 (2.8/3.5),1.7,14.4,3.3,5.7,1.1,0.2,3.3,-1.47
158,138.7,De'Andre Hunter,"SF,PF",CLE,68,28.3,0.464 (5.1/10.9),0.846 (2.9/3.5),2.1,15.2,3.7,1.4,0.7,0.2,1.3,-1.52
159,144.6,Taylor Hendricks,"SF,PF",UTA,58,26.2,0.450 (3.2/7.1),0.803 (1.0/1.2),1.5,8.9,5.5,0.9,0.9,0.9,0.8,-1.53
160 1,135.1,Sam Hauser,"SF,PF",BOS,72,27.8,0.448 (4.0/8.8),0.923 (0.2/0.3),3.1,11.3,4.3,1.3,0.7,0.3,0.5,-1.62
161 1,138,Mitchell Robinson,C,NY,56,20.9,0.602 (2.3/3.8),0.641 (0.8/1.3),0,5.5,7.6,0.7,1.1,1.1,0.7,-1.71
162 1,142.4,Adem Bona,C,PHI,64,18.6,0.688 (3.3/4.8),0.695 (1.6/2.4),0,8.2,6,0.7,0.6,1.4,1.5,-1.72
163 1,135.1,Quentin Grimes,"SG,SF",PHI,70,28,0.441 (4.8/10.9),0.755 (1.9/2.5),2.3,13.7,4,2.8,1,0.3,1.6,-1.72
164 1,140.2,Kentavious Caldwell-Pope,"SG,SF",MEM,72,28.6,0.450 (3.1/7.0),0.883 (1.1/1.3),1.8,9.2,2.2,2,1.2,0.5,0.9,-1.81
165 1,106.5,Santi Aldama,"PF,C",MEM,68,24.4,0.472 (4.2/8.9),0.712 (0.9/1.3),1.7,11.1,5.6,2.4,0.7,0.6,1,-1.81
166 1,,Jeremiah Fears,PG,NO,67,28.1,0.451 (4.4/9.8),0.798 (2.1/2.6),1.3,12.2,3.3,4.6,1.2,0.1,2.7,-1.93
167 7,,RayJ Dennis,PG,IND,40,24.4,0.423 (3.9/9.2),0.767 (0.7/0.9),1.6,10.1,3.2,3.7,1.2,0.7,1.8,-1.93
168,136.5,Luguentz Dort,"SG,SF",OKC,70,28.8,0.437 (3.7/8.4),0.758 (0.9/1.2),2.2,10.5,3.9,1.5,1,0.6,0.8,-1.94
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
169,137.8,Lonzo Ball,"PG,SG",CLE,55,23.2,0.366 (2.7/7.3),0.815 (0.7/0.8),2,8,3.6,4.9,1.1,0.4,1.2,-2.05
170 1,142.6,Scotty Pippen Jr.,"PG,SG",MEM,60,20.2,0.482 (3.6/7.4),0.722 (1.5/2.1),1.1,9.7,3,4.1,1.3,0.4,1.8,-2.13
171 1,134.6,Alex Caruso,"SG,SF",OKC,54,19.3,0.460 (2.5/5.4),0.785 (0.7/0.9),1.2,6.9,2.7,2.4,1.3,0.6,0.9,-2.14
172 1,102.9,Bradley Beal,"SG,SF",LAC,58,26,0.479 (5.1/10.6),0.805 (1.5/1.9),1.4,13,2.9,3.2,0.8,0.4,1.6,-2.15
173 1,136.1,Jaylen Wells,"SG,SF",MEM,74,28.2,0.438 (4.3/9.7),0.823 (1.6/2.0),2,12.2,3.9,2,1,0.2,1,-2.15
174 1,139.4,Davion Mitchell,PG,MIA,73,28.3,0.458 (4.0/8.8),0.716 (1.0/1.4),1.1,10.1,3.1,6.3,1,0.2,2,-2.17
175 1,132.2,Nikola Jovic,PF,MIA,57,26.4,0.454 (3.8/8.3),0.782 (1.3/1.7),1.8,10.7,4.7,2.8,0.8,0.3,1.3,-2.2
176 1,143.2,Ty Jerome,SG,MEM,60,20.7,0.494 (4.0/8.1),0.876 (1.6/1.9),1.4,11.1,2.2,3,1,0,1.2,-2.2
177 1,141.8,Cole Anthony,PG,MIL,70,20.4,0.430 (4.1/9.5),0.825 (2.0/2.4),1.2,11.4,3.7,3.8,0.8,0.5,1.7,-2.21
178 1,142.9,Kyle Filipowski,"PF,C",UTA,72,26.1,0.502 (4.5/9.0),0.649 (1.6/2.5),1.3,12,7.6,2.4,0.8,0.4,1.8,-2.24
179 1,143.6,Tre Johnson,SG,WAS,69,30,0.452 (5.5/12.3),0.819 (2.3/2.8),2.2,15.6,2.7,2,0.7,0.3,1.3,-2.24
180 1,,Miles McBride,"PG,SG",NY,66,27.2,0.429 (4.3/9.9),0.840 (0.9/1.1),2.1,11.5,2.4,2.8,1.1,0.2,0.7,-2.28
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
181 1,135.6,Brook Lopez,C,LAC,72,20.2,0.496 (3.1/6.3),0.821 (0.9/1.1),1.2,8.4,3.3,1.1,0.4,1.4,0.7,-2.33
182 1,140.3,Gary Trent Jr.,"SG,SF",MIL,72,26.8,0.428 (4.7/10.9),0.832 (1.1/1.4),2.6,13.1,2.6,1.5,1.1,0.1,0.7,-2.39
183 1,144.4,Moussa Diabaté,C,CHA,70,24.2,0.592 (3.3/5.6),0.620 (1.5/2.3),0,8,8.7,1.1,1,0.8,1.2,-2.41
184 1,131.1,Yves Missi,C,NO,73,26.8,0.546 (3.7/6.8),0.624 (1.8/2.8),0,9.2,8.3,1.4,0.5,1.4,1.1,-2.42
185 1,,Royce O'Neale,"SF,PF",PHO,73,24.6,0.410 (3.0/7.3),0.700 (0.3/0.4),2.2,8.4,4.8,2.5,0.8,0.5,0.9,-2.47
186 1,140.5,Brice Sensabaugh,"SF,PF",UTA,70,24.2,0.440 (4.4/9.9),0.899 (1.2/1.4),2.3,12.3,3.8,2,0.7,0.2,1.9,-2.49
187 17,141.1,Jared McCain,"PG,SG",PHI,49,27.4,0.460 (5.5/12.0),0.873 (2.1/2.5),2.2,15.4,2.5,2.6,0.7,0,1.6,-2.49
188,139.6,Duncan Robinson,"SG,SF",DET,71,26,0.444 (4.2/9.6),0.892 (0.9/1.0),2.7,12.1,2.4,2.6,0.6,0.2,1.3,-2.62
189,130.6,Mike Conley,PG,MIN,68,22.9,0.427 (2.7/6.3),0.895 (1.0/1.1),1.7,8.1,2.3,4.1,0.9,0.2,1,-2.63
190,93.9,RJ Barrett,"SG,SF,PF",TOR,58,32,0.467 (7.1/15.2),0.657 (3.2/4.9),1.6,19.1,5.4,3.8,0.6,0.3,2.4,-2.64
191 2,140.3,Keon Ellis,"PG,SG",SAC,72,20.2,0.481 (2.3/4.8),0.819 (0.7/0.8),1.4,6.7,2.3,1.4,1.2,0.6,0.7,-2.69
192 2,141.9,Aaron Wiggins,"SG,SF",OKC,72,23,0.485 (4.2/8.8),0.808 (1.0/1.2),1.5,11,3.6,1.6,0.9,0.3,0.9,-2.71
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
193 2,,Moritz Wagner,C,ORL,55,18.2,0.591 (4.4/7.4),0.781 (2.3/2.9),0.6,11.7,4.6,1.3,0.6,0.3,1.4,-2.77
194 2,,Marcus Smart,"PG,SG",LAL,58,25.1,0.411 (3.7/8.9),0.761 (1.8/2.3),1.7,10.7,2.3,3.5,1.5,0.3,2.1,-2.79
195 2,116.7,Stephon Castle,"PG,SG",SA,76,29.2,0.435 (5.8/13.3),0.734 (3.4/4.6),1.3,16.2,4.1,4.5,1,0.3,2.4,-2.79
196 2,140.7,Dillon Brooks,"SF,PF",PHO,73,31.4,0.429 (4.9/11.4),0.832 (1.5/1.8),2.2,13.5,3.6,1.7,0.9,0.2,1.1,-2.81
197 3,,Xavier Tillman Sr.,"PF,C",BOS,62,19.5,0.447 (3.0/6.8),0.688 (0.9/1.3),0.6,7.5,5.8,1.9,1.1,0.8,1.1,-2.85
198 4,129.4,Dennis Schröder,"PG,SG",SAC,70,25.6,0.422 (4.1/9.7),0.835 (2.0/2.4),1.6,11.7,2.4,4.9,0.7,0.2,1.6,-2.89
199 4,137.6,Chris Paul,PG,LAC,68,20.2,0.432 (2.4/5.6),0.895 (0.7/0.8),1.2,6.6,2.8,5.3,0.9,0.2,1.1,-2.91
200 4,141.3,Jay Huff,C,IND,68,20.1,0.531 (3.3/6.3),0.793 (0.9/1.2),1.2,8.8,3.8,0.8,0.4,1,0.8,-3
201 4,,Naji Marshall,"SF,PF",DAL,67,23.4,0.493 (4.0/8.0),0.803 (1.5/1.8),0.9,10.3,4.2,2.5,0.9,0.2,1.3,-3.02
202 5,141.7,Caris LeVert,"SG,SF",DET,66,24.2,0.442 (4.0/9.1),0.738 (1.7/2.3),1.4,11.2,3.2,3.7,0.9,0.4,1.3,-3.07
203 5,136.3,Buddy Hield,"SG,SF",GS,80,22.2,0.427 (3.9/9.0),0.853 (0.6/0.7),2.3,10.6,3,2.1,0.8,0.4,1.1,-3.09
204 5,138.5,Wendell Carter Jr.,C,ORL,67,25.7,0.472 (3.5/7.4),0.719 (1.8/2.5),0.8,9.6,7.2,1.9,0.7,0.6,1.2,-3.11
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
205 5,,Max Christie,"SG,SF",DAL,72,20.7,0.437 (3.6/8.3),0.835 (1.4/1.7),1.8,10.5,3.4,1.8,0.7,0.4,1.1,-3.12
206 5,132.3,Jonathan Kuminga,"SF,PF",GS,60,25.3,0.500 (5.9/11.8),0.712 (3.1/4.4),0.8,15.8,4.7,2.2,0.8,0.5,1.6,-3.15
207 5,128.5,Ace Bailey,"SG,SF",UTA,68,29.9,0.454 (4.9/10.8),0.718 (1.7/2.3),1.2,12.7,4.8,1.4,0.7,0.9,1.3,-3.16
208 5,,Ajay Mitchell,"PG,SG",OKC,64,24,0.495 (3.7/7.5),0.831 (1.2/1.4),0.9,9.5,2.8,2.6,1,0.2,1.2,-3.17
209 5,,Ziaire Williams,"SG,SF",BKN,67,25.4,0.405 (3.6/8.9),0.822 (1.6/2.0),1.6,10.5,4.6,1.6,1,0.4,1.3,-3.19
210 18,,Quenton Jackson,"PG,SG",IND,40,22.6,0.472 (3.6/7.6),0.785 (2.0/2.6),0.9,10.2,3,3.4,1,0.3,1,-3.19
211 4,,Sam Merrill,"SG,SF",CLE,70,23.1,0.409 (3.3/8.0),0.946 (0.5/0.6),2.7,9.8,2.7,2.1,0.7,0.2,0.5,-3.21
212 5,142.9,Luke Kornet,C,SA,68,17.1,0.680 (2.4/3.6),0.766 (0.9/1.1),0,5.7,4.8,1.4,0.4,1,0.4,-3.25
213 5,,Kevin Huerter,"SG,SF",CHI,66,24.4,0.434 (3.8/8.9),0.740 (0.5/0.7),1.9,10.2,3.3,2.5,0.8,0.4,0.9,-3.27
214 5,138.6,Harrison Barnes,"SF,PF",SA,74,27.1,0.490 (4.1/8.4),0.808 (1.9/2.3),1.8,11.9,3.3,1.4,0.6,0.2,0.6,-3.31
215 5,,Ryan Dunn,"SF,PF",PHO,72,24.4,0.432 (3.9/8.9),0.507 (0.4/0.7),1.6,9.7,5.2,1.1,0.9,0.7,0.8,-3.36
216 17,,Matisse Thybulle,"SG,SF",POR,40,20.8,0.414 (2.0/4.7),0.667 (0.3/0.5),1.2,5.4,2.2,1.4,1.7,0.7,0.6,-3.38
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
217 4,,Walter Clayton Jr.,PG,UTA,69,25.4,0.441 (3.5/8.0),0.855 (1.9/2.2),1.7,10.6,2.2,2.5,0.7,0.3,1.4,-3.4
218 4,143.2,Carlton Carrington,"PG,SG",WAS,74,27.4,0.395 (3.6/9.1),0.806 (1.0/1.2),1.6,9.8,3.9,4.5,0.7,0.3,1.6,-3.41
219 18,,Jock Landale,C,MEM,49,26.5,0.523 (3.6/6.9),0.752 (1.5/2.0),0.4,9.1,4.9,2,0.6,0.8,1,-3.44
220 3,139.3,Anthony Black,"PG,SG",ORL,72,24.5,0.437 (3.3/7.5),0.759 (1.7/2.3),0.9,9.2,3.2,2.9,1.1,0.6,1.7,-3.46
221 3,,AJ Green,"PG,SG",MIL,64,27.2,0.428 (3.4/8.0),0.833 (0.5/0.6),2.9,10.2,3.1,1.8,0.6,0.1,0.7,-3.47
222 4,,Zach Collins,C,CHI,60,18.7,0.491 (3.4/6.9),0.796 (1.4/1.8),0.7,8.9,5,2.3,0.5,0.6,1.5,-3.5
223 4,,Kris Dunn,"PG,SG",LAC,70,20.5,0.452 (2.3/5.0),0.667 (0.2/0.4),0.8,5.5,2.9,3.1,1.3,0.4,1,-3.5
224 4,,Derrick Jones Jr.,"SF,PF",LAC,76,25.9,0.506 (3.8/7.5),0.705 (1.2/1.8),1.1,9.9,3.6,0.9,0.9,0.6,0.9,-3.51
225 4,141.8,Cam Whitmore,"SF,PF",WAS,58,20,0.450 (4.6/10.3),0.706 (1.5/2.2),2,12.8,4.9,1.1,0.7,0.4,1.1,-3.56
226 4,,Taurean Prince,SF,MIL,74,27,0.449 (3.1/6.9),0.770 (0.6/0.7),1.8,8.6,3.3,1.8,0.9,0.3,1,-3.59
227 5,,Keldon Johnson,"SF,PF",SA,70,22.7,0.467 (4.5/9.7),0.784 (1.9/2.5),1.3,12.2,4.4,1.9,0.6,0.3,1.1,-3.64
228 22,,Max Strus,"SG,SF",CLE,40,25.1,0.427 (3.4/7.9),0.809 (0.8/0.9),2,9.5,4,3.2,0.7,0.3,1.2,-3.65
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
229 4,141.6,Jeremy Sochan,"PF,C",SA,64,25,0.473 (4.0/8.5),0.711 (1.4/1.9),0.7,10.1,5.6,2.6,0.7,0.5,1.5,-3.68
230 5,,Luke Kennard,"PG,SG",ATL,52,21.1,0.466 (3.0/6.4),0.897 (0.8/0.9),1.9,8.6,2.5,3,0.6,0.1,1.1,-3.7
231 40,97.1,Fred VanVleet,PG,HOU,10,30,0.384 (3.4/8.8),0.825 (1.4/1.7),1.9,10.1,2.5,4.1,1,0.4,1.1,-3.71
232 4,126.8,Klay Thompson,"SG,SF",DAL,74,22.5,0.411 (4.2/10.3),0.926 (1.0/1.1),2.5,12,2.6,1.7,0.5,0.3,1.1,-3.71
233 4,143.7,Egor Demin,PG,BKN,68,30.1,0.419 (3.8/9.0),0.683 (1.4/2.1),1.2,10.1,3.2,5.5,1,0.3,2.4,-3.72
234 4,137.9,Tyus Jones,PG,ORL,72,20,0.468 (3.1/6.6),0.854 (0.4/0.5),1.3,8,1.8,4.5,0.7,0.1,0.8,-3.72
235 4,143.9,Moses Moody,"SG,SF",GS,70,22.2,0.441 (3.5/7.9),0.793 (1.4/1.8),1.7,10.1,3.1,1.2,0.8,0.4,0.8,-3.72
236 5,137.4,Jordan Clarkson,"PG,SG",NY,58,22.3,0.425 (4.6/10.8),0.846 (2.5/2.9),1.5,13.1,2.6,3.5,0.6,0.1,2,-3.77
237 5,,Jonathan Isaac,"SF,PF",ORL,65,15.6,0.459 (2.2/4.8),0.698 (1.0/1.5),0.6,6.1,4.5,0.6,0.8,1.2,0.5,-3.77
238 5,136.9,Jonas Valanciunas,C,DEN,74,15.1,0.555 (3.3/6.0),0.823 (1.4/1.6),0.2,8.2,6,1.5,0.3,0.5,1,-3.83
239 5,,Goga Bitadze,C,ORL,66,16.2,0.606 (2.3/3.8),0.642 (1.0/1.5),0,5.6,5.1,1.5,0.6,1.2,0.8,-3.85
240 5,,Andre Drummond,C,PHI,62,17.9,0.537 (3.3/6.1),0.600 (1.6/2.7),0,8.2,8.8,0.6,1,0.6,1.2,-3.85
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
241 25,,Dru Smith,"PG,SG",MIA,30,17.9,0.459 (2.0/4.3),0.794 (0.5/0.7),1.1,5.6,2.3,2.3,1.4,0.4,1,-3.88
242 6,,Day'Ron Sharpe,C,BKN,55,16.6,0.545 (3.1/5.6),0.663 (1.2/1.8),0.1,7.5,6.6,1.6,0.6,0.8,1.2,-3.9
243 6,,Guerschon Yabusele,"PF,C",NY,70,22.1,0.501 (3.3/6.6),0.724 (1.2/1.6),1.2,9.1,4.7,1.7,0.7,0.3,1,-3.93
244 6,,Collin Murray-Boyles,PF,TOR,70,25.8,0.485 (3.7/7.6),0.712 (2.5/3.5),0.2,10,4.8,1.5,1,0.8,1.5,-3.98
245 6,,Nick Richards,C,PHO,60,18.8,0.644 (2.9/4.6),0.742 (1.6/2.1),0,7.4,6.3,0.7,0.3,0.8,1,-4
246 6,132.1,Zaccharie Risacher,"SF,PF",ATL,72,25.6,0.453 (4.8/10.5),0.721 (1.4/2.0),1.6,12.6,3.6,1.2,0.7,0.5,1.2,-4.01
247 6,138.9,Gradey Dick,"SG,SF",TOR,60,26.3,0.415 (4.2/10.2),0.859 (1.7/1.9),1.9,12,3,1.5,0.8,0.1,1.2,-4.12
248 23,,Justin Champagnie,"SF,PF",WAS,38,18.6,0.496 (2.9/5.8),0.705 (0.7/1.1),1,7.6,4.8,0.9,0.9,0.6,0.8,-4.17
249 6,,Chimezie Metu,"PF,C",FA,51,16.8,0.504 (2.4/4.8),0.913 (1.2/1.3),0.6,6.6,3.8,0.9,0.9,0.3,1,-4.17
250 6,141.2,Russell Westbrook,PG,SAC,68,22.2,0.437 (4.0/9.2),0.672 (1.6/2.4),0.8,10.5,4.4,3.7,1.1,0.4,2.4,-4.17
251 6,,Peyton Watson,"SF,PF",DEN,70,21.5,0.470 (2.8/6.0),0.685 (1.2/1.7),0.6,7.5,3.4,1.2,0.6,1.3,0.8,-4.18
252 6,137,Isaiah Stewart,C,DET,70,19.4,0.519 (2.5/4.8),0.754 (0.9/1.2),0.6,6.4,4.8,1.3,0.3,1,0.9,-4.21
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
253 6,,Sion James,SG,CHA,60,22.4,0.469 (3.0/6.4),0.796 (2.2/2.7),0.8,9,1.6,2.3,0.8,0.5,1.1,-4.29
254 6,,Tim Hardaway Jr.,"SG,SF",DEN,74,24.4,0.422 (3.7/8.8),0.856 (1.6/1.8),2.4,11.4,2.5,1.5,0.5,0.1,0.7,-4.32
255 24,132.5,Brandon Clarke,"PF,C",MEM,40,18.2,0.613 (3.7/6.0),0.661 (0.8/1.3),0,8.2,4.9,1,0.8,0.6,0.6,-4.36
256 6,,Precious Achiuwa,"PF,C",FA,65,21.2,0.502 (3.1/6.1),0.604 (0.8/1.4),0.3,7.2,6.2,1.2,0.7,0.8,1,-4.37
257 23,,Vít Krejcí,"SG,SF",ATL,39,22.4,0.495 (2.6/5.3),0.721 (0.5/0.7),1.6,7.3,2.8,2.6,0.7,0.4,0.9,-4.43
258 5,,Derik Queen,C,NO,58,26.8,0.476 (3.7/7.8),0.754 (3.0/3.9),0.1,10.5,5.7,1.2,0.6,0.7,1.5,-4.44
259 5,,Tristan Vukcevic,"PF,C",WAS,52,15,0.482 (3.4/7.0),0.773 (1.6/2.0),1.1,9.4,3.8,1.2,0.4,0.7,1.2,-4.48
260 20,,Saddiq Bey,"SF,PF",NO,40,26,0.425 (3.8/8.9),0.838 (2.2/2.6),1.4,11.2,5.2,1.2,0.7,0.1,0.7,-4.5
261 4,,Haywood Highsmith,"SF,PF",BKN,58,20.6,0.461 (2.4/5.2),0.684 (0.4/0.6),1.2,6.3,3.3,1.3,0.9,0.5,0.6,-4.51
262 5,137.7,Kyle Kuzma,"SF,PF",MIL,65,28,0.432 (5.4/12.4),0.709 (1.8/2.5),1.7,14.2,5,2.6,0.4,0.4,1.9,-4.54
263 6,,Ben Sheppard,"SG,SF",IND,65,24.9,0.405 (2.6/6.4),0.892 (0.6/0.7),1.5,7.3,3.3,1.7,0.9,0.2,0.5,-4.57
264 18,,Cody Martin,"SG,SF,PF",FA,40,24.5,0.403 (2.8/6.9),0.669 (0.8/1.2),0.9,7.3,4.3,2.7,1.1,0.6,1.2,-4.62
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
265 5,,Vince Williams Jr.,"SG,SF",MEM,55,19.6,0.431 (2.4/5.6),0.797 (1.3/1.6),1.1,7.2,4,2.4,0.6,0.4,1.3,-4.63
266 5,133.7,Isaiah Collier,"PG,SG",UTA,61,26.8,0.421 (3.3/7.9),0.682 (1.5/2.2),0.6,8.8,3.4,6.4,0.9,0.2,3,-4.64
267 20,,Ben Simmons,"PG,C",FA,33,20.9,0.534 (2.2/4.1),0.621 (0.4/0.7),0,4.8,4.9,5.1,0.7,0.4,1.8,-4.65
268 6,,Bruce Brown,SG,DEN,64,22.2,0.459 (3.3/7.1),0.818 (1.4/1.7),0.6,8.5,3.6,2.2,0.7,0.2,1,-4.72
269 6,136,Terance Mann,"SG,SF",BKN,67,23,0.507 (3.3/6.4),0.774 (0.9/1.2),0.9,8.3,3.2,1.7,0.6,0.2,0.7,-4.73
270 7,135.7,Isaiah Joe,SG,OKC,68,18.2,0.449 (2.9/6.5),0.846 (0.6/0.7),2.1,8.4,2.3,1.3,0.6,0.2,0.5,-4.75
271 8,,Kelly Olynyk,"PF,C",SA,61,14.4,0.536 (2.3/4.2),0.810 (1.3/1.6),0.5,6.3,3.4,2.6,0.6,0.3,1.3,-4.77
272 8,,Patrick Williams,PF,CHI,58,23.2,0.416 (3.1/7.5),0.748 (1.0/1.3),1.3,8.5,3.4,1.6,0.8,0.6,1.2,-4.78
273 8,,Marcus Sasser,PG,DET,64,18.6,0.440 (3.1/7.0),0.863 (0.9/1.0),1.3,8.4,1.7,3.2,0.7,0.1,1.3,-4.78
274 10,,Julian Champagnie,"SG,SF",SA,68,18.7,0.411 (2.4/5.9),0.864 (0.9/1.0),1.6,7.3,2.9,1.2,0.6,0.4,0.7,-4.9
275 11,,Gary Payton II,SG,GS,63,15.2,0.570 (2.6/4.6),0.672 (0.4/0.6),0.5,6.1,2.9,1.3,0.9,0.3,0.6,-4.93
276 13,,Kevon Looney,C,NO,55,18.6,0.550 (2.2/4.0),0.620 (0.9/1.4),0,5.3,6.9,2,0.6,0.5,0.7,-4.96
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
277 13,,Mouhamed Gueye,"PF,C",ATL,58,14.1,0.412 (1.9/4.6),0.770 (0.9/1.1),0.6,5.2,3.8,0.7,0.8,0.9,0.4,-4.97
278 15,,Jordan Goodwin,"PG,SG",PHO,60,18.6,0.388 (2.4/6.2),0.756 (0.6/0.8),0.8,6.2,4.3,2.3,0.9,0.3,1,-5.11
279 15,131.6,Amir Coffey,"SF,PF",MIL,71,22.6,0.471 (2.9/6.1),0.880 (1.3/1.4),1.2,8.3,2.2,1.1,0.6,0.2,0.6,-5.16
280 15,,Dean Wade,"SF,PF",CLE,60,20.9,0.413 (1.9/4.5),0.640 (0.3/0.5),1.4,5.5,4.2,1.1,0.7,0.4,0.4,-5.18
281 20,,Will Richard,SG,GS,30,16.1,0.512 (2.0/3.9),0.800 (0.8/1.0),0.8,5.6,2.6,1.8,1.3,0,0.8,-5.23
282 14,142.2,Khaman Maluach,C,PHO,60,20.2,0.588 (2.5/4.3),0.721 (1.0/1.4),0.1,6.1,5,0.4,0.1,0.9,0.6,-5.23
283 14,,Paul Reed,C,DET,58,12.6,0.532 (2.1/3.9),0.725 (0.6/0.8),0.2,4.9,3.8,1,0.7,0.7,0.6,-5.25
284 15,,Isaac Okoro,"SF,PF",CHI,62,23,0.481 (2.8/5.9),0.690 (1.0/1.5),1.1,7.8,2.7,1.6,0.7,0.4,0.6,-5.28
285 16,,Trendon Watford,"PF,C",PHI,53,17.4,0.496 (3.3/6.6),0.775 (1.7/2.2),0.6,8.8,3.5,2,0.5,0.3,1.5,-5.34
286 16,,Jonathan Mogbo,"PF,C",TOR,60,18.4,0.437 (2.3/5.2),0.731 (0.9/1.2),0.3,5.6,4.5,2.1,0.8,0.5,1,-5.36
287 21,,Lonnie Walker IV,"SG,SF",FA,39,20.6,0.421 (4.2/9.9),0.774 (1.0/1.2),2.1,11.4,2.7,1.7,0.6,0.4,1.1,-5.43
288 20,,Isaiah Livers,"SF,PF",PHO,30,13,0.333 (1.0/3.0),1.000 (1.0/1.0),1,4,0.5,0,1,1,0,-5.49
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
289 16,,Ron Holland II,"SF,PF",DET,74,20.1,0.474 (3.2/6.6),0.758 (1.5/1.9),0.6,8.3,3.5,1.3,0.8,0.3,1.2,-5.5
290 17,139.2,Hansen Yang,C,POR,65,18.4,0.495 (2.6/5.2),0.682 (1.3/1.9),0.2,6.6,4.1,2.2,0.4,0.9,1.3,-5.53
291 17,136.4,Jarred Vanderbilt,"PF,C",LAL,58,18.1,0.503 (1.9/3.7),0.611 (0.7/1.1),0.3,4.7,5,1.2,1.1,0.2,0.9,-5.55
292 20,,Daniss Jenkins,,DET,30,12.6,0.567 (1.7/3.0),1.000 (0.7/0.7),0.7,4.7,0,2,1.3,0,1.3,-5.57
293 19,,Jose Alvarado,PG,NO,56,17,0.378 (2.4/6.2),0.756 (0.7/0.9),1.4,6.7,1.9,2.7,1,0.2,0.9,-5.59
294 20,,Jalen Smith,C,CHI,50,12.1,0.529 (2.6/4.9),0.752 (0.9/1.2),0.8,6.8,4.2,0.8,0.2,0.5,0.5,-5.6
295 22,,Corey Kispert,"SF,PF",WAS,60,21,0.471 (3.5/7.5),0.770 (1.0/1.4),1.7,9.8,2.2,1.4,0.4,0.2,0.9,-5.62
296 23,,Malcolm Brogdon,"PG,SG",FA,31,18.1,0.438 (3.5/7.9),0.848 (1.9/2.2),1.1,9.9,2.6,3.4,0.4,0.1,1.1,-5.63
